x	y	clickSelects	xmin	xmax	ymin	ymax
6180	24	6200,0	6155	6205	-1	49
6230	24	6250,0	6205	6255	-1	49
6230	74	6250,50	6205	6255	49	99
6280	74	6300,50	6255	6305	49	99
6280	124	6300,100	6255	6305	99	149
6330	124	6350,100	6305	6355	99	149
6330	174	6350,150	6305	6355	149	199
6380	174	6400,150	6355	6405	149	199
6380	224	6400,200	6355	6405	199	249
6430	224	6450,200	6405	6455	199	249
6430	274	6450,250	6405	6455	249	299
6480	274	6500,250	6455	6505	249	299
6480	324	6500,300	6455	6505	299	349
6530	324	6550,300	6505	6555	299	349
6530	374	6550,350	6505	6555	349	399
6580	374	6600,350	6555	6605	349	399
6280	24	6300,0	6255	6305	-1	49
6380	124	6400,100	6355	6405	99	149
6480	224	6500,200	6455	6505	199	249
6580	324	6600,300	6555	6605	299	349
6330	74	6350,50	6305	6355	49	99
6430	174	6450,150	6405	6455	149	199
6530	274	6550,250	6505	6555	249	299
6630	374	6650,350	6605	6655	349	399
6330	24	6350,0	6305	6355	-1	49
6380	74	6400,50	6355	6405	49	99
6430	124	6450,100	6405	6455	99	149
6480	174	6500,150	6455	6505	149	199
6530	224	6550,200	6505	6555	199	249
6580	274	6600,250	6555	6605	249	299
6630	324	6650,300	6605	6655	299	349
6380	24	6400,0	6355	6405	-1	49
6480	124	6500,100	6455	6505	99	149
6580	224	6600,200	6555	6605	199	249
6430	74	6450,50	6405	6455	49	99
6530	174	6550,150	6505	6555	149	199
6630	274	6650,250	6605	6655	249	299
6680	324	6700,300	6655	6705	299	349
6430	24	6450,0	6405	6455	-1	49
6480	74	6500,50	6455	6505	49	99
6530	124	6550,100	6505	6555	99	149
6580	174	6600,150	6555	6605	149	199
6630	224	6650,200	6605	6655	199	249
6680	274	6700,250	6655	6705	249	299
6480	24	6500,0	6455	6505	-1	49
6580	124	6600,100	6555	6605	99	149
6680	224	6700,200	6655	6705	199	249
6530	74	6550,50	6505	6555	49	99
6630	174	6650,150	6605	6655	149	199
6730	274	6750,250	6705	6755	249	299
6530	24	6550,0	6505	6555	-1	49
6580	74	6600,50	6555	6605	49	99
6680	174	6700,150	6655	6705	149	199
6730	224	6750,200	6705	6755	199	249
6630	124	6650,100	6605	6655	99	149
6580	24	6600,0	6555	6605	-1	49
6680	124	6700,100	6655	6705	99	149
6630	74	6650,50	6605	6655	49	99
6730	174	6750,150	6705	6755	149	199
6780	224	6800,200	6755	6805	199	249
6630	24	6650,0	6605	6655	-1	49
6680	74	6700,50	6655	6705	49	99
6730	124	6750,100	6705	6755	99	149
6780	174	6800,150	6755	6805	149	199
6680	24	6700,0	6655	6705	-1	49
6780	124	6800,100	6755	6805	99	149
6730	74	6750,50	6705	6755	49	99
6830	174	6850,150	6805	6855	149	199
6730	24	6750,0	6705	6755	-1	49
6780	74	6800,50	6755	6805	49	99
6830	124	6850,100	6805	6855	99	149
6780	24	6800,0	6755	6805	-1	49
6830	74	6850,50	6805	6855	49	99
6880	124	6900,100	6855	6905	99	149
6830	24	6850,0	6805	6855	-1	49
6880	74	6900,50	6855	6905	49	99
6880	24	6900,0	6855	6905	-1	49
6930	74	6950,50	6905	6955	49	99
6930	24	6950,0	6905	6955	-1	49
6980	24	7000,0	6955	7005	-1	49
