group	fill	colour	clickSelects
1	#FFFFFF	#D3D3D3	15
2	#FFFFFF	#D3D3D3	15
3	#FFFFFF	#D3D3D3	6
4	#FFFFFF	#D3D3D3	41
5	#FFFFFF	#D3D3D3	41
6	#FFFFFF	#D3D3D3	41
7	#FFFFFF	#D3D3D3	41
8	#FFFFFF	#D3D3D3	41
9	#FFFFFF	#D3D3D3	41
10	#FFFFFF	#D3D3D3	41
11	#FFFFFF	#D3D3D3	41
12	#FFFFFF	#D3D3D3	41
13	#FFFFFF	#D3D3D3	41
14	#FFFFFF	#D3D3D3	15
15	#FFFFFF	#D3D3D3	41
16	#FFFFFF	#D3D3D3	41
17	#FFFFFF	#D3D3D3	41
18	#FFFFFF	#D3D3D3	41
19	#FFFFFF	#D3D3D3	41
20	#FFFFFF	#D3D3D3	41
21	#FFFFFF	#D3D3D3	6
22	#FFFFFF	#D3D3D3	41
23	#FFFFFF	#D3D3D3	6
24	#FFFFFF	#D3D3D3	6
25	#FFFFFF	#D3D3D3	6
26	#FFFFFF	#D3D3D3	6
27	#FFFFFF	#D3D3D3	6
28	#FFFFFF	#D3D3D3	6
29	#FFFFFF	#D3D3D3	2
30	#FFFFFF	#D3D3D3	2
31	#FFFFFF	#D3D3D3	2
32	#FFFFFF	#D3D3D3	6
33	#FFFFFF	#D3D3D3	6
34	#FFFFFF	#D3D3D3	2
35	#FFFFFF	#D3D3D3	2
36	#FFFFFF	#D3D3D3	6
37	#FFFFFF	#D3D3D3	2
38	#FFFFFF	#D3D3D3	2
39	#FFFFFF	#D3D3D3	2
40	#FFFFFF	#D3D3D3	2
41	#FFFFFF	#D3D3D3	2
42	#FFFFFF	#D3D3D3	2
43	#FFFFFF	#D3D3D3	2
44	#FFFFFF	#D3D3D3	2
45	#FFFFFF	#D3D3D3	6
46	#FFFFFF	#D3D3D3	15
47	#FFFFFF	#D3D3D3	6
48	#FFFFFF	#D3D3D3	6
49	#FFFFFF	#D3D3D3	6
50	#FFFFFF	#D3D3D3	41
52	#FFFFFF	#D3D3D3	15
53	#FFFFFF	#D3D3D3	6
54	#FFFFFF	#D3D3D3	6
