group	fill	clickSelects
1	#FFFFFF	6
2	#FFFFFF	6
3	#FFFFFF	6
4	#FFFFFF	35
5	#FFFFFF	35
6	#FFFFFF	162
7	#FFFFFF	162
8	#FFFFFF	162
9	#FFFFFF	162
10	#FFFFFF	162
11	#FFFFFF	162
12	#FFFFFF	35
13	#FFFFFF	35
14	#FFFFFF	6
15	#FFFFFF	35
16	#FFFFFF	35
17	#FFFFFF	35
18	#FFFFFF	35
19	#FFFFFF	35
20	#FFFFFF	6
21	#FFFFFF	6
22	#FFFFFF	6
23	#FFFFFF	6
24	#FFFFFF	6
25	#FFFFFF	6
26	#FFFFFF	6
27	#FFFFFF	35
28	#FFFFFF	6
29	#FFFFFF	6
30	#FFFFFF	35
31	#FFFFFF	35
32	#FFFFFF	6
33	#FFFFFF	35
34	#FFFFFF	35
35	#FFFFFF	6
36	#FFFFFF	35
37	#FFFFFF	35
38	#FFFFFF	6
39	#FFFFFF	35
40	#FFFFFF	35
41	#FFFFFF	35
42	#FFFFFF	35
43	#FFFFFF	35
44	#FFFFFF	6
45	#FFFFFF	35
46	#FFFFFF	35
47	#FFFFFF	6
48	#FFFFFF	6
49	#FFFFFF	35
50	#FFFFFF	35
51	#FFFFFF	6
52	#FFFFFF	6
53	#FFFFFF	6
54	#FFFFFF	35
55	#FFFFFF	35
56	#FFFFFF	35
57	#FFFFFF	35
58	#FFFFFF	162
59	#FFFFFF	162
60	#FFFFFF	162
61	#FFFFFF	162
62	#FFFFFF	35
63	#FFFFFF	35
64	#FFFFFF	6
65	#FFFFFF	35
66	#FFFFFF	35
67	#FFFFFF	35
68	#FFFFFF	35
69	#FFFFFF	35
70	#FFFFFF	35
71	#FFFFFF	35
72	#FFFFFF	6
73	#FFFFFF	35
74	#FFFFFF	35
75	#FFFFFF	6
76	#FFFFFF	6
77	#FFFFFF	6
78	#FFFFFF	6
79	#FFFFFF	6
80	#FFFFFF	6
81	#FFFFFF	35
82	#FFFFFF	35
83	#FFFFFF	6
84	#FFFFFF	35
85	#FFFFFF	6
86	#FFFFFF	6
87	#FFFFFF	6
88	#FFFFFF	6
89	#FFFFFF	35
90	#FFFFFF	35
91	#FFFFFF	35
92	#FFFFFF	35
93	#FFFFFF	35
94	#FFFFFF	6
95	#FFFFFF	35
96	#FFFFFF	35
