group	x	y	clickSelects	showSelected1
1293	-36.25	-0.25	9	6200,0
1293	-36.25	0.25	9	6200,0
1293	4.75	41.25	9	6200,0
1293	5.25	41.25	9	6200,0
1293	5.25	29.75	9	6200,0
1293	4.75	29.25	9	6200,0
1293	4.25	29.25	9	6200,0
1293	3.25	30.25	9	6200,0
1293	3.25	31.25	9	6200,0
1293	2.75	31.75	9	6200,0
1293	1.75	31.75	9	6200,0
1293	1.25	32.25	9	6200,0
1293	-0.25	32.25	9	6200,0
1293	-0.25	31.25	9	6200,0
1293	-1.25	31.25	9	6200,0
1293	-1.25	30.75	9	6200,0
1293	-0.25	29.75	9	6200,0
1293	0.75	29.75	9	6200,0
1293	1.25	29.25	9	6200,0
1293	3.25	29.25	9	6200,0
1293	3.75	28.75	9	6200,0
1293	3.75	27.75	9	6200,0
1293	4.25	27.25	9	6200,0
1293	5.25	27.25	9	6200,0
1293	5.25	26.75	9	6200,0
1293	4.75	26.25	9	6200,0
1293	4.75	25.25	9	6200,0
1293	4.25	25.25	9	6200,0
1293	2.75	26.75	9	6200,0
1293	2.25	26.75	9	6200,0
1293	1.25	25.75	9	6200,0
1293	1.25	25.25	9	6200,0
1293	1.75	24.75	9	6200,0
1293	1.75	24.25	9	6200,0
1293	1.25	24.25	9	6200,0
1293	-0.25	25.75	9	6200,0
1293	-0.75	25.75	9	6200,0
1293	-0.75	25.25	9	6200,0
1293	-0.25	24.75	9	6200,0
1293	-0.25	24.25	9	6200,0
1293	-0.75	24.25	9	6200,0
1293	-1.25	24.75	9	6200,0
1293	-1.75	24.75	9	6200,0
1293	-1.75	24.25	9	6200,0
1293	-1.25	23.75	9	6200,0
1293	-1.25	23.25	9	6200,0
1293	-1.75	22.75	9	6200,0
1293	-3.25	22.75	9	6200,0
1293	-3.75	23.25	9	6200,0
1293	-3.75	23.75	9	6200,0
1293	-3.25	24.25	9	6200,0
1293	-3.25	24.75	9	6200,0
1293	-3.75	25.25	9	6200,0
1293	-5.25	25.25	9	6200,0
1293	-5.75	24.75	9	6200,0
1293	-7.25	24.75	9	6200,0
1293	-7.75	25.25	9	6200,0
1293	-10.25	25.25	9	6200,0
1293	-11.25	24.25	9	6200,0
1293	-11.25	22.75	9	6200,0
1293	-10.25	21.75	9	6200,0
1293	-10.25	21.25	9	6200,0
1293	-11.25	21.25	9	6200,0
1293	-11.75	20.75	9	6200,0
1293	-11.75	20.25	9	6200,0
1293	-10.75	19.25	9	6200,0
1293	-10.75	18.75	9	6200,0
1293	-11.75	17.75	9	6200,0
1293	-11.75	17.25	9	6200,0
1293	-10.25	17.25	9	6200,0
1293	-7.75	19.75	9	6200,0
1293	-7.25	19.75	9	6200,0
1293	-7.25	19.25	9	6200,0
1293	-7.75	18.75	9	6200,0
1293	-7.75	18.25	9	6200,0
1293	-7.25	18.25	9	6200,0
1293	-6.75	18.75	9	6200,0
1293	-6.25	18.75	9	6200,0
1293	-6.25	18.25	9	6200,0
1293	-7.75	16.75	9	6200,0
1293	-8.75	16.75	9	6200,0
1293	-8.75	15.25	9	6200,0
1293	-7.75	15.25	9	6200,0
1293	-5.75	13.25	9	6200,0
1293	-5.25	13.25	9	6200,0
1293	-4.25	14.25	9	6200,0
1293	-3.25	14.25	9	6200,0
1293	-3.25	15.25	9	6200,0
1293	-2.75	15.75	9	6200,0
1293	-2.75	16.25	9	6200,0
1293	-3.25	16.75	9	6200,0
1293	-3.25	17.75	9	6200,0
1293	-3.75	18.25	9	6200,0
1293	-3.75	18.75	9	6200,0
1293	-2.25	18.75	9	6200,0
1293	-1.25	17.75	9	6200,0
1293	-0.75	17.75	9	6200,0
1293	-0.25	18.25	9	6200,0
1293	-0.25	18.75	9	6200,0
1293	-1.25	18.75	9	6200,0
1293	-1.25	21.25	9	6200,0
1293	-0.75	21.25	9	6200,0
1293	-0.25	20.75	9	6200,0
1293	0.25	20.75	9	6200,0
1293	0.75	21.25	9	6200,0
1293	1.75	21.25	9	6200,0
1293	1.75	22.25	9	6200,0
1293	2.75	22.25	9	6200,0
1293	3.25	22.75	9	6200,0
1293	3.75	22.75	9	6200,0
1293	3.75	21.75	9	6200,0
1293	5.25	20.25	9	6200,0
1293	5.25	-0.25	9	6200,0
1293	-36.25	-0.25	9	6200,0
1293	-44.75	41.25	9	6250,0
1293	-44.75	41.75	9	6250,0
1293	-39.75	46.75	9	6250,0
1293	-38.25	46.75	9	6250,0
1293	-38.25	45.75	9	6250,0
1293	-36.75	44.25	9	6250,0
1293	-36.25	44.25	9	6250,0
1293	-36.25	45.25	9	6250,0
1293	-35.75	45.75	9	6250,0
1293	-35.25	45.75	9	6250,0
1293	-34.25	44.75	9	6250,0
1293	-34.25	44.25	9	6250,0
1293	-34.75	43.75	9	6250,0
1293	-35.75	43.75	9	6250,0
1293	-35.75	43.25	9	6250,0
1293	-34.75	42.25	9	6250,0
1293	-34.75	41.75	9	6250,0
1293	-35.25	41.25	9	6250,0
1293	-35.25	40.75	9	6250,0
1293	-34.75	40.25	9	6250,0
1293	-33.25	40.25	9	6250,0
1293	-32.75	40.75	9	6250,0
1293	-32.75	41.25	9	6250,0
1293	-33.75	42.25	9	6250,0
1293	-33.75	43.75	9	6250,0
1293	-33.25	44.25	9	6250,0
1293	-32.75	44.25	9	6250,0
1293	-32.25	43.75	9	6250,0
1293	-32.25	43.25	9	6250,0
1293	-32.75	42.75	9	6250,0
1293	-32.75	42.25	9	6250,0
1293	-32.25	42.25	9	6250,0
1293	-31.25	43.25	9	6250,0
1293	-31.25	44.25	9	6250,0
1293	-30.75	44.75	9	6250,0
1293	-30.75	45.75	9	6250,0
1293	-30.25	46.25	9	6250,0
1293	-28.75	46.25	9	6250,0
1293	-28.75	45.25	9	6250,0
1293	-28.25	44.75	9	6250,0
1293	-27.75	44.75	9	6250,0
1293	-27.25	45.25	9	6250,0
1293	-26.75	45.25	9	6250,0
1293	-25.75	44.25	9	6250,0
1293	-24.75	44.25	9	6250,0
1293	-23.75	43.25	9	6250,0
1293	-23.25	43.25	9	6250,0
1293	-22.25	44.25	9	6250,0
1293	-21.75	44.25	9	6250,0
1293	-20.75	43.25	9	6250,0
