group	label	showSelected1
1	Cluster 5: 2003/15405 pixels shown, logFC -5.5 to 4.6, log10(p) 0.0 to 3.9	5
1	Cluster 6: 1541/42619 pixels shown, logFC -5.5 to 5.2, log10(p) 0.0 to 4.9	6
1	Cluster 10: 862/12878 pixels shown, logFC -4.2 to 4.6, log10(p) 0.0 to 4.2	10
1	Cluster 86: 301/1256 pixels shown, logFC -4.7 to 2.6, log10(p) 0.0 to 4.4	86
1	Cluster 104: 12/177 pixels shown, logFC -1.5 to 1.9, log10(p) 0.0 to 2.8	104
1	Cluster 117: 2/53 pixels shown, logFC -4.2 to 0.4, log10(p) 0.0 to 1.5	117
1	Cluster 202: 10/82 pixels shown, logFC -0.9 to 4.0, log10(p) 0.1 to 1.6	202
1	Cluster 220: 1/29 pixels shown, logFC 0.4 to 3.4, log10(p) 0.3 to 1.5	220
1	Cluster 225: 9/9 pixels shown, logFC -3.9 to -0.4, log10(p) 0.1 to 1.2	225
1	Cluster 235: 2/10 pixels shown, logFC -3.5 to -2.1, log10(p) 0.4 to 0.9	235
1	Cluster 283: 17/421 pixels shown, logFC -4.2 to 3.4, log10(p) 0.0 to 3.1	283
1	Cluster 286: 14/18 pixels shown, logFC -4.2 to -0.5, log10(p) 0.2 to 2.2	286
1	Cluster 350: 2/2 pixels shown, logFC 1.8 to 2.6, log10(p) 0.6 to 0.7	350
1	Cluster 358: 34/34 pixels shown, logFC -0.8 to 3.4, log10(p) 0.1 to 1.5	358
1	Cluster 361: 17/17 pixels shown, logFC -2.9 to -0.6, log10(p) 0.3 to 3.0	361
1	Cluster 428: 14/151 pixels shown, logFC -4.5 to 1.3, log10(p) 0.0 to 2.2	428
