fill	x	y	xmin	xmax	ymin	ymax
#CDCDCD	4	3.75	3.875	4.125	3.625	3.875
#B0B0B0	4	3.25	3.875	4.125	3.125	3.375
#CDCDCD	3.5	2	3.375	3.625	1.875	2.125
#CDCDCD	3.25	2.25	3.125	3.375	2.125	2.375
#CDCDCD	4.25	3.75	4.125	4.375	3.625	3.875
#FFFFFF	4.75	5	4.625	4.875	4.875	5.125
#FFFFFF	3.5	1.5	3.375	3.625	1.375	1.625
#FFFFFF	4	2	3.875	4.125	1.875	2.125
#8E8E8E	3.25	2	3.125	3.375	1.875	2.125
#FFFFFF	4.5	4.5	4.375	4.625	4.375	4.625
#616161	2.5	1	2.375	2.625	0.875	1.125
#828282	3	1.5	2.875	3.125	1.375	1.625
#CDCDCD	4	3.5	3.875	4.125	3.375	3.625
#616161	2.75	1	2.625	2.875	0.875	1.125
#9D9D9D	2.75	1.5	2.625	2.875	1.375	1.625
#CDCDCD	3.75	2.5	3.625	3.875	2.375	2.625
#323232	2	1	1.875	2.125	0.875	1.125
#484848	2.25	1	2.125	2.375	0.875	1.125
#CDCDCD	3.5	2.5	3.375	3.625	2.375	2.625
#323232	2.25	0	2.125	2.375	-0.125	0.125
#CDCDCD	3.25	1	3.125	3.375	0.875	1.125
#323232	2	0	1.875	2.125	-0.125	0.125
#4D4D4D	1.5	1	1.375	1.625	0.875	1.125
#202020	1.5	0	1.375	1.625	-0.125	0.125
#CDCDCD	3.25	1.5	3.125	3.375	1.375	1.625
#5B5B5B	1.75	1	1.625	1.875	0.875	1.125
#CDCDCD	3.5	2.25	3.375	3.625	2.125	2.375
#B0B0B0	2.5	2	2.375	2.625	1.875	2.125
#616161	2.5	0	2.375	2.625	-0.125	0.125
#B0B0B0	3	2	2.875	3.125	1.875	2.125
#232323	0.75	0	0.625	0.875	-0.125	0.125
#000000	1	0	0.875	1.125	-0.125	0.125
#CDCDCD	2	1.5	1.875	2.125	1.375	1.625
#FFFFFF	3.25	2.5	3.125	3.375	2.375	2.625
#B0B0B0	2.5	1.5	2.375	2.625	1.375	1.625
#8E8E8E	3	1	2.875	3.125	0.875	1.125
#FFFFFF	2.75	0	2.625	2.875	-0.125	0.125
#3B3B3B	1.75	0	1.625	1.875	-0.125	0.125
#FFFFFF	2.75	2	2.625	2.875	1.875	2.125
#FFFFFF	4	3	3.875	4.125	2.875	3.125
#CDCDCD	2.25	2	2.125	2.375	1.875	2.125
#CDCDCD	1.75	2.25	1.625	1.875	2.125	2.375
#1B1B1B	1.25	0	1.125	1.375	-0.125	0.125
#CDCDCD	1.5	1.5	1.375	1.625	1.375	1.625
#FFFFFF	2	2	1.875	2.125	1.875	2.125
#FFFFFF	1.25	1.5	1.125	1.375	1.375	1.625
#FFFFFF	2.25	1.5	2.125	2.375	1.375	1.625
#222222	0.5	0	0.375	0.625	-0.125	0.125
#828282	1	1	0.875	1.125	0.875	1.125
#FFFFFF	1.75	1.5	1.625	1.875	1.375	1.625
#8E8E8E	0.75	1	0.625	0.875	0.875	1.125
#616161	0.25	0	0.125	0.375	-0.125	0.125
#FFFFFF	0.5	1	0.375	0.625	0.875	1.125
#8E8E8E	1.25	1	1.125	1.375	0.875	1.125
#FFFFFF	1.75	2	1.625	1.875	1.875	2.125
#FFFFFF	0.75	1.5	0.625	0.875	1.375	1.625
#B0B0B0	0	0	-0.125	0.125	-0.125	0.125
